name,easting,northing,grid,lat,lon,metres_amsl,changed_location,prev_easting,prev_northing,prev_lat,prev_lon,prev_metres_amsl,last_year_location_1,last_month_location_1,first_year_location_2,first_month_location_2,ref
Aberporth,224100,252100,British,52.139,-4.57,133,N,,,,,,,,,,aberporthdata
Armagh,287800,345800,Irish,54.352,-6.649,62,N,,,,,,,,,,armaghdata
Ballypatrick Forest,317600,438600,Irish,55.181,-6.153,156,N,,,,,,,,,,ballypatrickdata
Bradford,414900,435200,British,53.813,-1.772,134,N,,,,,,,,,,bradforddata
Braemar,315200,791900,British,57.006,-3.396,327,Y,315200,791400,57.006,-3.398,339,2005,4,2005,8,braemardata
Camborne,162700,40700,British,50.218,-5.327,87,N,,,,,,,,,,cambornedata
Cambridge NIAB,543500,260600,British,52.245,0.102,26,N,,,,,,,,,,cambridgedata
Cardiff Bute Park,317600,177300,British,51.488,-3.187,9,N,,,,,,,,,,cardiffdata
Chivenor,249600,134400,British,51.089,-4.147,6,N,,,,,,,,,,chivenordata
Cwmystwyth,277300,274900,British,52.358,-3.802,301,N,,,,,,,,,,cwmystwythdata
Dunstaffnage,188100,734000,British,56.451,-5.439,3,N,,,,,,,,,,dunstaffnagedata
Durham,426700,541500,British,54.768,-1.585,102,N,,,,,,,,,,durhamdata
Eastbourne,561100,98300,British,50.762,0.285,7,N,,,,,,,,,,eastbournedata
Eskdalemuir,323400,602600,British,55.311,-3.206,242,N,,,,,,,,,,eskdalemuirdata
Heathrow (London Airport),507800,176700,British,51.479,-0.449,25,N,,,,,,,,,,heathrowdata
Hurn,411700,97800,British,50.779,-1.835,10,N,,,,,,,,,,hurndata
Lerwick,445300,1139700,British,60.139,-1.183,82,N,,,,,,,,,,lerwickdata
Leuchars,346800,720900,British,56.377,-2.861,10,N,,,,,,,,,,leucharsdata
Lowestoft / Lowestoft Monckton Ave from Sept 2007,653000,293800,British,52.483,1.727,18,Y,654300,294600,52.49,1.744,25,2007,7,2007,9,lowestoftdata
Manston,632300,166100,British,51.346,1.337,49,N,,,,,,,,,,manstondata
Nairn there is a site change in 1998,291200,857300,British,57.593,-3.821,23,Y,286900,856800,57.587,-3.893,8,1998,5,1998,9,nairndata
Newton Rigg,349300,530800,British,54.67,-2.786,169,N,,,,,,,,,,newtonriggdata
Oxford,450900,207200,British,51.761,-1.262,63,N,,,,,,,,,,oxforddata
Paisley,247800,664200,British,55.846,-4.43,32,N,,,,,,,,,,paisleydata
Ringway,381400,384400,British,53.356,-2.279,69,N,,,,,,,,,,ringwaydata
Ross-On-Wye,359800,223800,British,51.911,-2.584,67,N,,,,,,,,,,rossonwyedata
Shawbury,355200,322100,British,52.794,-2.663,72,N,,,,,,,,,,shawburydata
Sheffield,433900,387200,British,53.381,-1.49,131,N,,,,,,,,,,sheffielddata
Southampton,441600,111200,British,50.898,-1.408,3,Y,442000,112500,50.91,-1.404,20,1969,12,1970,1,southamptondata
Stornoway,146400,933200,British,58.214,-6.318,15,N,,,,,,,,,,stornowaydata
Sutton Bonington,450700,325900,British,52.833,-1.25,48,N,,,,,,,,,,suttonboningtondata
Tiree,99800,744800,British,56.5,-6.88,12,N,,,,,,,,,,tireedata
Valley,230800,375800,British,53.252,-4.535,10,N,,,,,,,,,,valleydata
Waddington,498800,365300,British,53.175,-0.522,68,N,,,,,,,,,,waddingtondata
Whitby Coastguard / Whitby(from 2000 and $sunshine),489100,510400,British,54.481,-0.624,41,Y,490400,511400,54.49,-0.606,60,1999,12,2000,1,whitbydata
Wick Airport,336500,952200,British,58.454,-3.088,36,N,,,,,,,,,,wickairportdata
Yeovilton,355100,123200,British,51.006,-2.641,20,N,,,,,,,,,,yeoviltondata
