yyyy,mm,tmax_degc,tmin_degc,af_days,rain_mm,sun_hours,sun_hours_measurement_via,tmax_degc_estimated,tmin_degc_estimated,af_days_estimated,rain_mm_estimated,sun_hours_estimated,provisional
1961,7,14.4,8.7,0,,,,N,N,N,N,N,N
1961,8,15.9,8.7,0,,,,N,N,N,N,N,N
1961,9,15.8,8.5,0,,,,N,N,N,N,N,N
1961,10,12.1,5.8,0,,,,N,N,N,N,N,N
1961,11,,,,,,,N,N,N,N,N,N
1961,12,5.4,0.0,15,,,,N,N,N,N,N,N
1962,1,6.8,0.5,7,,,,N,N,N,N,N,N
1962,2,7.0,1.5,5,,,,N,N,N,N,N,N
1962,3,5.3,-1.5,19,,,,N,N,N,N,N,N
1962,4,10.2,2.0,3,,,,N,N,N,N,N,N
1962,5,12.0,4.6,0,,,,N,N,N,N,N,N
1962,6,15.1,7.3,0,,,,N,N,N,N,N,N
1962,7,15.4,8.5,0,,,,N,N,N,N,N,N
1962,8,15.3,8.8,0,,,,N,N,N,N,N,N
1962,9,13.5,7.8,0,,,,N,N,N,N,N,N
1962,10,12.3,7.0,0,,,,N,N,N,N,N,N
1962,11,8.1,3.0,2,,,,N,N,N,N,N,N
1962,12,6.5,2.0,6,,,,N,N,N,N,N,N
1963,1,2.6,-1.4,22,,,,N,N,N,N,N,N
1963,2,3.1,-1.6,20,,,,N,N,N,N,N,N
1963,3,8.6,2.1,6,,,,N,N,N,N,N,N
1963,4,9.6,3.7,2,,,,N,N,N,N,N,N
1963,5,11.8,4.6,0,,,,N,N,N,N,N,N
1963,6,16.0,8.7,0,,,,N,N,N,N,N,N
1963,7,16.1,9.1,0,,,,N,N,N,N,N,N
1963,8,14.9,9.1,0,,,,N,N,N,N,N,N
1963,9,14.4,8.3,0,,,,N,N,N,N,N,N
1963,10,12.6,7.3,0,,,,N,N,N,N,N,N
1963,11,9.1,3.9,4,,,,N,N,N,N,N,N
1963,12,6.1,1.8,7,,,,N,N,N,N,N,N
1964,1,7.1,2.9,0,,,,N,N,N,N,N,N
1964,2,6.5,2.0,8,,,,N,N,N,N,N,N
1964,3,6.3,2.0,6,,,,N,N,N,N,N,N
1964,4,10.9,4.2,2,,,,N,N,N,N,N,N
1964,5,14.8,6.7,0,,,,N,N,N,N,N,N
1964,6,14.2,8.3,0,,,,N,N,N,N,N,N
1964,7,15.8,9.6,0,,,,N,N,N,N,N,N
1964,8,16.0,9.4,0,,,,N,N,N,N,N,N
1964,9,15.1,9.0,0,,,,N,N,N,N,N,N
1964,10,11.4,6.0,0,,,,N,N,N,N,N,N
1964,11,9.8,3.9,3,,,,N,N,N,N,N,N
1964,12,6.3,0.8,10,,,,N,N,N,N,N,N
1965,1,5.1,0.3,13,,,,N,N,N,N,N,N
1965,2,6.0,0.5,10,,,,N,N,N,N,N,N
1965,3,7.2,1.2,9,,,,N,N,N,N,N,N
1965,4,10.0,3.2,1,,,,N,N,N,N,N,N
1965,5,12.8,6.0,2,,161.0,Campbell Stokes recorder,N,N,N,N,N,N
1965,6,15.4,8.3,0,,148.7,Campbell Stokes recorder,N,N,N,N,N,N
1965,7,14.1,8.2,0,,160.8,Campbell Stokes recorder,N,N,N,N,N,N
